"","orig.ident","nCount_RNA","nFeature_RNA","percent_mt","percent_ERCC","S.Score","G2M.Score","Phase","old.ident"
"RJUMSZ","XRA",1332675,1482,4.09229557093815,0,-0.0588123710097773,-0.0153870544557006,"G1","XRA"
"JUYFQD","XRA",169167,780,7.38973913351895,0,-0.0395891926022038,0.0116410004775777,"G2M","XRA"
"UONUAM","XRA",813984,1549,6.51302728309156,0,-0.0530638910198119,0.0373674146485428,"G2M","XRA"
"TSMWLG","XRA",1612853,1669,11.803369556928,0.00607618921253208,-0.0145303743256449,-0.067705691463523,"G1","XRA"
"TFSDGD","XRA",1110079,1785,5.5721259477929,0,-0.0624254751370575,-0.0271450060659863,"G1","XRA"
"GBQWUU","XRA",915870,1476,4.18345398364397,0.000218371602956752,-0.0214342411340371,-0.0698217657305977,"G1","XRA"
"LKVPRJ","XRA",1809902,2795,9.96656172544149,0,-0.0347507763852997,-0.070976646502011,"G1","XRA"
"HZQFDM","XRA",139608,978,11.320268179474,0,0.0270933829964505,-0.0542523636479125,"S","XRA"
"YPZTJL","XRA",431347,1459,9.72975353949372,0,-0.0636706989540096,-0.0230175340303542,"G1","XRA"
"ZMMETL","XRA",1817168,2259,11.8219118980744,5.50306851100173e-05,-0.0737701087907094,-0.0281455474825855,"G1","XRA"
"NFFPOC","XRA",665695,1653,8.25453097890175,0,-0.0223018506745313,-0.050802135443278,"G1","XRA"
"POILNE","XRA",680398,2039,8.3377670128366,0.052322317231973,-0.0604051610793614,-0.0224906763428093,"G1","XRA"
"SIQVWK","XRA",1859993,1743,6.03136678471371,0.068548645075546,-0.0212443502054508,-0.00860835013361458,"G1","XRA"
"HEXNWE","XRA",1769253,2100,12.9675631467065,0.00655643935604461,-0.00707609556875187,0.0375449500387686,"G2M","XRA"
"IUGFNG","XRA",1921238,2522,12.4068959702025,5.20497720740481e-05,0.0323648266846519,-0.0481470212465471,"S","XRA"
"ENODGS","XRA",37051,773,6.2319505546409,0,0.0448827218562105,-0.0622259968056561,"S","XRA"
"INYNGB","XRA",986624,1491,5.09413920601972,0,-0.0816315223525107,-0.0629071080480191,"G1","XRA"
"KWJDJQ","XRA",1276002,1795,7.7314142140843,0.0381660843791781,-0.0577737813319383,-0.0311867932059698,"G1","XRA"
"MPMCGM","XRA",2543453,2827,6.47257881313317,0.00117949889382662,0.00910190431721049,-0.0680169156819243,"S","XRA"
"BCJEHE","XRA",2083316,2807,2.62586184717057,0.0542404512805547,-0.0400970310535774,-0.00138580336507058,"G1","XRA"
"WJBDIE","XRA",1190588,1497,7.66377621813759,0,-0.0283654314054567,-0.0497948080493586,"G1","XRA"
"DFFDZI","XRA",1225644,1325,3.60316698813032,0.0859140174471543,-0.0695247433323154,-0.0662056540911215,"G1","XRA"
"NRCDBY","XRA",2691336,2673,14.858196821207,0.000111468802111665,-0.0183367636708118,-0.0415399817741308,"G1","XRA"
"EVBKDF","XRA",2135802,2559,6.60215694151424,0,-0.0342559551109642,0.0175765439594372,"G2M","XRA"
"ZQRIKZ","XRA",442092,2572,12.8081937696226,0.0527039620712431,-0.00125091127147876,-0.0282630362578885,"G1","XRA"
"LEPZZE","XRA",828728,2519,4.81026343987412,0.0594887586759468,0.0786647520484444,0.00698446224253614,"S","XRA"
"OJRHME","XRA",563787,1594,12.7141988020298,0,0.0709994253933156,-0.0618081786067739,"S","XRA"
"ZHWCXM","XRA",553037,1756,9.51889294929634,0,-0.00799795021436903,-0.0308379437982692,"G1","XRA"
"BSSMLO","XRA",687470,2848,4.16018153519426,0,0.0202081866968612,-0.0676691352767611,"S","XRA"
"YFFKIW","XRA",227413,947,3.76407681179176,0.0857470769041348,-0.0578745443228512,0.0256440317909486,"G2M","XRA"
"GGUVCZ","XRA",1520439,2893,7.1347156972427,0,0.0346283261808613,-0.0657751787065594,"S","XRA"
"RIJDRE","XRA",1190903,2912,8.08269019391168,0,0.0393108947264283,-0.0322148499848619,"S","XRA"
"LNRDIK","XRA",85369,838,7.82719722615938,0,-0.0413937986943415,-0.0524239546132604,"G1","XRA"
"CYVWYB","XRA",1064333,1752,14.5546553569231,0,-0.0270198793915891,0.058825925055965,"G2M","XRA"
"JNCUTB","XRA",1461316,2939,5.08671635703708,0.0021898069958859,-0.0047993947806374,-0.0346118069004557,"G1","XRA"
"MXBHNP","XRA",106343,723,8.81017086221002,0,-0.039115784915579,-0.0377495397708176,"G1","XRA"
"PZPBEM","XRA",821563,1853,5.96144178839602,0,-0.0162756174041216,-0.00921869046351577,"G1","XRA"
"ALGYSE","XRA",370285,771,7.78832520896067,0,-0.0343745040390494,-0.0453483558635234,"G1","XRA"
"DGWLMR","XRA",56386,294,7.64196786436349,0,-0.0240712399831646,-0.0153217747784023,"G1","XRA"
"TEWYPN","XRA",1504926,1171,5.71768977345065,0.0970811853871885,-0.0450242498278021,-0.0168520040424243,"G1","XRA"
"WBORRR","XRA",1724103,2864,7.98995187642502,0,0.0273222884440558,-0.0378460663565675,"S","XRA"
"MZKWTN","XRA",1141356,2726,14.5256168977953,0,-0.0704982637611121,-0.0326071897027434,"G1","XRA"
"WMASSE","XRA",779283,1379,11.840499536112,0,-0.0504203243998566,-0.0226080752795586,"G1","XRA"
"QOIQVS","XRA",26018,435,4.62756553155508,0,-0.0205989134237018,-0.0116652898941188,"G1","XRA"
