"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C3",0,4.11614544455283,0.954,0.08,0,"0","C3"
"DCN",0,3.71878475678162,0.999,0.126,0,"0","DCN"
"CILP",0,4.46180430619397,0.921,0.053,0,"0","CILP"
"COL6A3",0,4.35877272236661,0.957,0.102,0,"0","COL6A3"
"C1S",0,3.94980476825487,0.989,0.134,0,"0","C1S"
"CFD",0,3.75590988648627,0.961,0.11,0,"0","CFD"
"ADH1B",0,4.27276907834582,0.931,0.081,0,"0","ADH1B"
"MFAP5",0,3.54198138733195,0.891,0.06,0,"0","MFAP5"
"APOD",0,2.58770016887381,0.99,0.167,0,"0","APOD"
"SERPINF1",0,3.2138147088131,0.967,0.153,0,"0","SERPINF1"
"MFAP4",0,4.36808234971696,0.866,0.061,0,"0","MFAP4"
"C1R",0,3.80494808044542,0.945,0.143,0,"0","C1R"
"FBLN5",0,4.3220304760229,0.872,0.075,0,"0","FBLN5"
"PRELP",0,4.01360370451502,0.877,0.081,0,"0","PRELP"
"LAMA2",0,3.66472085518428,0.959,0.166,0,"0","LAMA2"
"FBLN1",0,3.79634207171652,0.885,0.094,0,"0","FBLN1"
"MGST1",0,2.86030352218368,0.872,0.082,0,"0","MGST1"
"MMP2",0,4.41228670507144,0.844,0.06,0,"0","MMP2"
"IGFBP6",0,3.39494392938287,0.874,0.096,0,"0","IGFBP6"
"FSTL1",0,3.28730109299397,0.949,0.181,0,"0","FSTL1"
"EFEMP1",0,4.12566198399245,0.822,0.06,0,"0","EFEMP1"
"PDGFRA",0,4.05254051735307,0.819,0.057,0,"0","PDGFRA"
"NID1",0,3.51000839782598,0.856,0.108,0,"0","NID1"
"SCARA5",0,3.72555970626892,0.794,0.054,0,"0","SCARA5"
"COL6A1",0,3.2856655926016,0.851,0.118,0,"0","COL6A1"
"LUM",0,3.83487747833004,0.79,0.058,0,"0","LUM"
"ABCA8",0,3.12145440981623,0.82,0.098,0,"0","ABCA8"
"ABI3BP",0,3.59401717620145,0.811,0.09,0,"0","ABI3BP"
"LAMC1",0,3.05612516914501,0.902,0.188,0,"0","LAMC1"
"MAP1B",0,2.59984901995519,0.878,0.165,0,"0","MAP1B"
"LRP1",0,2.90049173594957,0.867,0.163,0,"0","LRP1"
"COL12A1",0,4.42605634054787,0.75,0.059,0,"0","COL12A1"
"FBN1",0,3.40684775770437,0.802,0.113,0,"0","FBN1"
"ABCA9",0,4.76765777609168,0.747,0.06,0,"0","ABCA9"
"OLFML3",0,3.65023320929283,0.736,0.054,0,"0","OLFML3"
"RNASE4",0,2.61698393059808,0.805,0.127,0,"0","RNASE4"
"GFRA1",0,3.4918650838461,0.724,0.058,0,"0","GFRA1"
"COL1A2",0,2.77474804418783,0.75,0.092,0,"0","COL1A2"
"COL6A2",0,3.37766007349871,0.753,0.097,0,"0","COL6A2"
"TNFAIP6",0,3.29525448701077,0.722,0.067,0,"0","TNFAIP6"
"DPT",0,4.10625948654137,0.691,0.038,0,"0","DPT"
"PDGFRL",0,3.92619227689801,0.699,0.048,0,"0","PDGFRL"
"CYP4B1",0,3.31063247531245,0.746,0.097,0,"0","CYP4B1"
"SMOC2",0,4.29455660744484,0.682,0.046,0,"0","SMOC2"
